type,sequence
train,0-1-2-0-2-3-4
train,0-2-0-3-4
test,2-3-4
train,5-3-6-5-6-4
train,5-6-3-4
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-8-8-9-0-2-0-2-0-2-5-6-8-8-8-8-10-5-11-11-11-11-6-12-12-12-12-13-10-13-10-13-13-13-13-10-13-13-1-1-1-1-14-5-11-3-11-6-4
train,15-3-4
train,9-9-16-3-4
test,5-11-11-6-3-4
validation,5-3-11-11-6-4
train,14-5-3-6-4
validation,3-5-6-4
test,3-5-6-4
train,3-5-6-4
train,14-17-5-6-18
train,3-4
train,7-7-7-19-19-19-19-19-7-7-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-7-19-19-19-19-19-19-19-7-19-7-19-19-19-19-19-19-19-19-7-19-19-19-19-19-7-7-19-7-19-7-7-7-7-7-7-7-20-7-20-7-20-20-20-7-7-7-7-20-20-20-7-20-20-20-20-20-20-20-7-20-20-20-7-7-7-7-20-20-20-20-7-20-20-7-20-20-20-20-20-20-20-7-20-20-20-7-7-7-7-7-7-7-7-21-21-21-21-21-7-21-7-7-7-7-7-7-7-7-7-7-7-7-7-7-21-21-21-21-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-7-7-7-7-7-7-7-7-7-7-7-7-7-7-22-22-13-22-22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-22-7-7-7-22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-12-12-12-12-12-12-3-5-11-11-6-4
train,14-5-3-11-11-6-4
test,9-5-3-23-11-11-6-4
train,5-11-3-11-6-4
test,5-11-3-11-6-4
train,9-24-25-0-2-0-2-3-5-11-11-6-4
validation,17-5-11-11-6-18
train,14-1-1-5-3-11-11-6-4
test,3-4
train,3-4
test,5-11-3-11-6-5-11-11-6-4
train,17-5-11-11-6-18
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-26-3-4
train,12-12-12-12-5-3-6-4
train,27-14-5-11-3-11-6-9-5-11-11-11-4
train,1-12-12-12-12-8-8-8-8-3-4
train,8-8-3-8-8-14-8-8-4
train,9-27-28-28-29-1-1-1-5-6-5-6-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-0-2-0-2-0-2-0-2-0-2-0-2-0-2-0-2-1-1-1-1-1-1-1-1-1-1-8-8-8-3-8-8-8-4
train,1-1-1-1-1-8-17-18
train,8-8-8-8-17-8-8-8-18
train,22-22-7-7-7-7-7-23-3-4
validation,3-4
validation,8-8-8-3-8-4
train,17-8-8-18
train,1-8-8-7-31-32-32-32-5-31-32-32-6-32-23-33-23-22-31-32-32-32-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-23-30-30-30-7-7-30-30-7-7-7-7-30-23-7-23-7-23-7-7-7-7-7-7-7-23-7-7-7-23-7-32-23-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-30-1-1-5-6-8-8-8-8-8-8-3-8-8-4
validation,3-27-8-8-8-8-4
train,1-1-1-3-8-8-8-8-4
train,17-8-8-8-8-18
train,8-8-8-8-8-8-3-8-8-8-8-4
test,3-8-8-8-8-8-8-8-8-8-8-4
train,3-4
train,3-4
test,3-4
train,3-4
train,3-8-8-4
train,3-4
test,22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-23-3-8-8-8-8-4
train,3-8-8-8-8-8-8-4
train,3-8-8-4
train,1-1-3-4
train,28-28-3-4
train,34-28-29-28-28-3-4
train,5-3-6-35-35-35-4
test,3-4
test,3-35-5-6-5-6-5-6-5-6-5-6-35-35-35-35-35-0-2-28-0-2-28-0-2-28-28-28-5-6-5-6-4
train,3-4
train,3-4
train,36-3-5-6-4
train,3-4
test,3-4
train,3-4
train,5-3-6-5-6-5-6-4
train,3-4
train,3-4
train,3-5-6-5-35-34-6-4
validation,17-18
train,3-5-6-4
train,17-18
train,3-4
test,3-4
train,17-18
train,3-4
train,17-18
train,3-35-35-4
train,17-18
train,3-5-6-4
validation,3-5-6-4
train,17-18
train,3-5-6-4
validation,5-3-6-4
train,17-5-6-18
train,3-4
train,5-3-6-5-6-4
train,3-5-4
train,3-6-36-4
train,17-18
train,3-4
validation,3-4
train,3-4
train,3-4
validation,3-4
train,3-5-6-4
train,3-4
validation,17-5-6-18
validation,28-34-29-35-34-35-29-28-34-29-1-1-3-4
train,3-35-35-35-35-35-4
train,3-4
train,17-18
train,3-9-27-28-28-35-28-34-29-4
train,3-4
train,3-27-27-28-28-35-27-34-4
train,3-28-35-27-29-34-4
train,3-4
validation,3-27-4
train,17-18
train,3-4
train,3-4
test,17-18
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
train,3-4
test,3-4
train,17-18
train,3-4
train,17-18
train,17-18
train,3-9-9-9-9-35-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-28-28-4
train,3-4
validation,3-4
train,3-27-27-28-28-4
test,3-4
train,15-3-4
train,27-3-4
train,17-18
train,12-12-12-12-37-37-37-5-37-6-37-37-37-37-37-37-37-5-6-37-37-5-37-6-5-6-1-1-1-5-6-5-3-6-28-28-28-28-29-5-4
train,3-4
train,6-5-6-5-3-4
train,6-5-6-5-3-4
train,6-5-17-18
train,6-3-4
train,5-17-6-18
test,1-1-1-3-4
train,28-28-29-17-18
train,1-1-1-1-1-5-11-11-11-11-6-5-11-11-6-17-38-39-18
train,1-1-1-1-1-1-1-1-1-1-1-1-17-18
train,1-5-3-6-5-28-28-28-6-5-4
train,6-3-5-6-4
train,1-24-0-25-2-0-2-5-6-23-40-40-41-22-22-22-22-22-22-22-22-3-5-11-11-11-11-11-4
test,11-0-11-2-0-3-2-4
train,11-6-3-4
train,1-1-3-5-6-4
train,3-5-6-5-6-4
test,17-18
train,22-22-22-22-7-7-3-4
